algorithm,graph_type,vertices,edges,time,memory,relaxations,success_rate
Dijkstra,Sparse,10,14.333333333333334,7.943333306078178e-05,0.5,6.0,1.0
Bellman-Ford,Sparse,10,13.666666666666666,0.00036126666721732664,0.2734375,5.666666666666667,1.0
Floyd-Warshall,Sparse,10,15.0,0.0019493333341718728,2.515625,46.333333333333336,1.0
Johnson,Sparse,10,15.666666666666666,0.0027859000001626555,6.2109375,73.33333333333333,1.0
Dijkstra,Sparse,20,27.0,5.909999951351589e-05,0.8984375,2.0,1.0
Bellman-Ford,Sparse,20,30.0,0.0012570333328767447,0.3359375,8.333333333333334,1.0
Floyd-Warshall,Sparse,20,31.0,0.01580850000027567,11.575520833333334,151.33333333333334,1.0
Johnson,Sparse,20,29.333333333333332,0.010293333334023677,18.1796875,261.6666666666667,1.0
Dijkstra,Sparse,30,46.0,7.899999885315386e-05,1.6953125,19.0,1.0
Bellman-Ford,Sparse,30,44.666666666666664,0.0014820666662368847,0.3984375,20.666666666666668,1.0
Floyd-Warshall,Sparse,30,46.666666666666664,0.03089483333375635,26.0546875,683.3333333333334,1.0
Johnson,Sparse,30,43.666666666666664,0.011837933333784653,49.1328125,502.0,1.0
Dijkstra,Sparse,40,59.333333333333336,6.803333356704873e-05,1.6953125,21.333333333333332,1.0
Bellman-Ford,Sparse,40,61.0,0.002329466666803152,0.4609375,26.333333333333332,1.0
Floyd-Warshall,Sparse,40,62.666666666666664,0.07964153333341528,48.704427083333336,1091.3333333333333,1.0
Johnson,Sparse,40,59.666666666666664,0.04864146666598875,68.5078125,879.6666666666666,1.0
Dijkstra,Sparse,50,76.33333333333333,0.00029533333326980937,3.2890625,32.333333333333336,1.0
Bellman-Ford,Sparse,50,71.66666666666667,0.010505933333358067,0.6875,24.333333333333332,1.0
Floyd-Warshall,Sparse,50,74.0,0.1838271666668637,77.7041015625,1755.3333333333333,1.0
Johnson,Sparse,50,75.0,0.0834768999999748,150.42447916666666,1344.3333333333333,1.0
Floyd-Warshall,Dense,100,8399.333333333334,0.44603646666594915,317.4479166666667,22507.0,1.0
Johnson,Dense,100,8402.333333333334,1.2155228333334283,963.9322916666666,23672.0,1.0
Floyd-Warshall,Dense,150,18973.0,0.8323492666665212,728.453125,54216.0,1.0
Johnson,Dense,150,18937.333333333332,1.6041046333333118,1870.6666666666667,54972.666666666664,1.0
Floyd-Warshall,Dense,200,33807.333333333336,1.3691103666666702,1251.3203125,100496.33333333333,1.0
Johnson,Dense,200,33724.666666666664,3.3662153000004764,3969.9947916666665,100214.0,1.0
Bellman-Ford,Mixed,10,27.0,0.0003937666666994725,0.4921875,70.66666666666667,0.3333333333333333
Floyd-Warshall,Mixed,10,29.0,0.0010685999992953537,3.8151041666666665,232.0,1.0
Johnson,Mixed,10,28.0,0.0008389333330948526,2.9609375,124.0,0.3333333333333333
Bellman-Ford,Mixed,20,109.0,0.004826533332864831,1.1634114583333333,728.0,0.0
Floyd-Warshall,Mixed,20,117.33333333333333,0.029818033333261457,19.419270833333332,4826.0,1.0
Johnson,Mixed,20,107.66666666666667,0.006951433333597379,2.1328125,694.0,0.0
Bellman-Ford,Mixed,30,262.6666666666667,0.01784786666697376,1.3984375,2617.0,0.0
Floyd-Warshall,Mixed,30,254.33333333333334,0.13196409999970152,42.893229166666664,20518.0,1.0
Johnson,Mixed,30,262.0,0.02401100000012472,3.5546875,2518.3333333333335,0.0
Bellman-Ford,Mixed,40,463.3333333333333,0.04650013333351429,2.0517578125,6538.333333333333,0.0
Floyd-Warshall,Mixed,40,464.6666666666667,0.32052539999979973,77.63802083333333,50626.0,1.0
Johnson,Mixed,40,462.6666666666667,0.0575168666667499,3.9296875,5929.333333333333,0.0
Bellman-Ford,Mixed,50,751.6666666666666,0.09095933333325472,3.716796875,12023.0,0.0
Floyd-Warshall,Mixed,50,764.6666666666666,0.676620100000946,130.2890625,108148.66666666667,1.0
Johnson,Mixed,50,750.3333333333334,0.12215663333396758,6.4765625,12445.333333333334,0.0
